,,,,University of Michigan Norms 1  (n = 113),,,,,,,,,,Snodgrass & Vanderwart Norms 2 (n = 42),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,hanger,,,4.80,0.48,a,0.39,95,b,99,,,,4.52,0.67,a,0.74,86,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,harp,,,2.09,0.96,,0.15,93,,93,,,,1.88,1.08,,0.00,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,hat,,,3.45,1.00,,0.45,94,,94,,,,3.18,1.00,,0.16,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,heart,,,4.13,0.95,a,0.26,96,,96,,,,3.72,1.16,a,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,helicopter,,,2.64,1.04,,0.00,100,b,100,,,,2.55,1.12,,0.32,95,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,horse,,,2.88,0.97,a,0.00,100,,100,,,,3.55,1.14,a,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,house,,,4.85,0.50,a,0.25,96,,96,,,,4.38,1.04,a,0.32,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,iron,,,3.45,0.94,,0.07,99,,99,,,,3.65,1.08,,0.32,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,ironing board,,,3.23,1.00,,0.78,87,,92,,,,3.50,1.07,,0.56,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,jacket,,,4.29,0.81,,1.80,50,b,50,,,,4.00,1.14,,0.95,81,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,kangaroo,,,1.87,0.94,,0.00,100,,100,,,,1.92,1.15,,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,kettle,,,3.01,1.15,a,2.09,33,,63,c,,,3.80,1.17,a,1.66,40,,98,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,key,,,4.96,0.21,a,0.00,100,,100,,,,4.85,0.42,a,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,kite,,,2.55,0.91,,0.00,100,,100,,,,2.48,1.14,,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,knife,,,4.80,0.50,a,0.53,89,,89,,,,4.45,0.84,a,0.60,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,ladder,,,3.37,0.98,,0.07,99,,99,,,,3.35,1.15,,0.16,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,lamp,,,4.64,0.57,a,0.13,98,b,98,,,,4.20,0.95,a,0.44,93,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,leaf,,,4.64,0.61,a,0.47,91,,91,,,,4.30,0.75,a,0.53,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,leg,,,4.96,0.28,a,0.35,96,b,96,c,,,4.65,0.82,a,1.11,81,b,88,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,lemon,,,3.23,0.90,,0.53,92,b,92,,,,3.25,1.22,,0.00,100,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,leopard,,,1.93,0.95,,1.56,50,b,50,c,,,1.92,0.93,,1.07,76,b,86,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,lettuce,,,4.06,0.96,a,1.13,77,,77,,,,3.42,1.24,a,1.14,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,light bulb,,,4.46,0.69,a,0.47,93,,93,,,,4.18,0.80,a,0.68,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,light switch,,,4.87,0.45,a,0.60,88,b,88,,,,4.58,0.63,a,0.92,67,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,lion,,,2.10,1.05,,0.20,97,,97,,,,2.00,1.07,,0.37,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,lips,,,4.87,0.39,a,0.37,93,,93,,,,4.50,0.81,a,0.44,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,lobster,,,2.73,0.97,,0.37,94,,94,,,,2.58,1.24,,0.38,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,lock,,,3.81,0.91,a,0.64,86,,99,,,,3.18,1.18,a,0.53,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,mitten,,,3.43,0.99,,0.56,99,b,99,,,,3.10,1.22,,0.96,76,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,monkey,,,2.31,0.92,,0.29,96,,96,,,,2.58,0.97,,0.32,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,moon,,,4.39,0.83,a,0.74,85,b,85,c,,,3.98,1.01,a,1.68,62,b,95,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,motorcycle,,,3.02,0.99,,0.25,96,,96,,,,3.25,1.09,,0.32,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,mountain,,,2.88,1.11,,0.52,92,,92,,,,2.70,1.19,,0.60,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,mouse,,,2.50,0.96,,0.46,90,b,91,,,,2.45,1.02,,0.75,79,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,mushroom,,,3.25,1.08,,0.07,99,,99,,,,2.88,1.23,,0.00,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,nail,,,3.36,0.95,,0.18,97,,97,,,,3.28,1.20,,0.16,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,nail file,,,3.39,1.07,,2.20,42,b,42,c,,,3.15,1.39,,1.04,67,b,98,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,necklace,,,3.79,1.14,a,0.74,83,b,83,c,,,2.70,1.31,a,1.88,60,b,93,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,needle,,,2.99,0.84,a,0.97,83,,83,,,,3.40,1.14,a,0.86,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,nose,,,4.91,0.41,a,0.22,97,,97,,,,4.52,0.87,a,0.16,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,nut,,,2.93,0.97,a,1.30,58,,58,,,,2.55,1.28,a,0.97,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,onion,,,3.63,0.91,,0.20,96,,96,,,,3.32,1.31,,0.00,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,orange,,,3.92,0.80,a,0.62,91,b,91,,,,3.34,1.26,a,0.53,81,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,ostrich,,,1.95,0.95,a,0.81,84,,84,,,,1.52,0.67,a,0.35,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,owl,,,2.27,0.98,,0.07,99,,99,,,,2.22,1.06,,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,paintbrush,,,2.87,0.98,,0.58,91,b,91,,,,2.78,1.24,,1.06,74,b,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,pants,,,4.92,0.30,a,0.40,95,,98,,,,4.55,0.86,a,0.53,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,peach,,,3.54,0.90,a,1.50,73,,73,,,,2.90,1.02,a,1.19,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,peacock,,,2.04,0.90,,0.63,89,b,89,,,,2.05,1.05,,0.81,79,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,peanut,,,3.32,0.88,,0.00,100,b,100,,,,3.00,1.02,,0.37,93,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,pear,,,3.46,0.92,,0.00,100,,100,,,,3.55,1.14,,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,pen,,,4.95,0.23,a,0.00,100,b,100,,,,4.78,0.72,a,0.32,95,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,pencil,,,4.82,0.49,a,0.00,100,,100,,,,4.42,1.00,a,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,penguin,,,2.15,1.05,a,0.07,99,b,99,,,,1.70,0.93,a,0.38,90,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,pepper,,,3.37,0.93,a,1.49,65,,91,,,,2.92,1.29,a,1.07,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,piano,,,3.59,0.98,,0.53,89,,89,,,,3.42,1.48,,0.70,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,pig,,,2.51,1.05,,0.15,98,b,99,,,,2.18,0.97,,0.60,90,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,pineapple,,,3.22,0.90,,0.00,100,,100,,,,2.95,1.30,,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,pipe,,,2.62,1.16,,0.15,98,,98,,,,2.90,1.14,,0.16,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,pitcher,,,3.73,0.89,,0.76,87,,87,,,,3.50,0.92,,0.54,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,pliers,,,2.89,0.96,a,0.70,79,,79,,,,3.38,1.13,a,0.38,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,plug,,,4.42,0.74,,0.76,88,,94,,,,4.18,0.77,,0.29,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,pocketbook,,,3.99,1.24,,0.35,96,b,97,,,,3.95,1.28,,1.72,57,b,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,pot,,,4.02,0.81,,0.90,81,,81,,,,4.22,0.96,,0.86,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,potato,,,3.98,0.84,a,0.22,96,,96,,,,3.46,1.17,a,0.34,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,pumpkin,,,2.96,0.83,,0.00,100,b,100,,,,3.08,1.35,,0.00,98,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,rabbit,,,3.04,0.95,,0.88,80,,80,,,,2.95,1.07,,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,raccoon,,,2.68,1.02,a,0.25,94,,94,,,,2.20,1.23,a,0.58,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,record player,,,2.60,1.07,a,0.72,89,,89,,,,4.40,0.86,a,1.73,50,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,refrigerator,,,4.89,0.34,a,0.43,91,,100,,,,4.68,0.65,a,0.44,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,rhinoceros,,,1.88,0.90,a,1.06,50,,99,,,,1.52,0.89,a,0.56,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,ring,,,4.10,0.95,a,0.15,98,,98,,,,3.48,1.28,a,0.16,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,rocking chair,,,3.23,1.02,,0.67,88,,88,,,,3.25,1.30,,0.53,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,roller skate,,,2.48,1.00,,0.95,73,b,73,c,,,2.25,1.11,,1.00,52,b,100,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,rolling pin,,,2.74,0.92,a,1.31,71,,87,,,,2.22,1.08,a,0.94,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,rooster,,,2.37,0.97,,0.75,88,,90,,,,2.22,1.08,,1.21,76,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,ruler,,,3.73,0.88,,0.00,100,,100,,,,3.58,0.95,,0.16,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,sailboat,,,2.58,0.99,,0.67,86,b,86,,,,2.92,1.17,,0.37,93,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,salt shaker,,,4.13,0.86,,1.99,54,b,74,,,,4.18,0.92,,0.96,83,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,sandwich,,,4.44,0.71,,0.00,100,,100,,,,4.45,0.97,,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,saw,,,2.53,1.04,a,0.15,98,,99,,,,2.92,1.19,a,0.16,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,scissors,,,4.16,0.74,,0.00,100,,100,,,,3.98,0.99,,0.16,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,screw,,,3.32,0.92,,0.28,97,,97,,,,3.20,1.00,,0.33,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,screwdriver,,,3.19,0.97,,0.18,97,,97,,,,3.42,1.14,,0.00,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,seahorse,,,1.76,0.93,,0.50,88,,88,,,,1.50,0.89,,0.34,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,seal,,,1.92,0.83,a,1.50,69,,69,,,,1.62,0.73,a,0.61,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,sheep,,,2.16,0.89,a,1.17,74,,74,,,,1.85,0.82,a,0.95,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,shirt,,,4.15,0.95,a,1.98,45,b,45,,,,4.56,0.70,a,0.00,100,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,shoe,,,4.85,0.47,a,0.20,97,,97,,,,4.62,0.70,a,0.28,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,skirt,,,3.91,1.04,,0.54,91,,91,,,,3.64,1.53,,0.16,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,skunk,,,2.79,1.15,a,0.43,93,,93,,,,2.30,1.17,a,0.16,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,sled,,,2.77,0.83,,0.38,95,,95,,,,2.80,1.03,,0.00,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,snail,,,2.29,0.91,a,0.00,99,b,99,,,,1.85,1.06,a,0.51,86,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,snake,,,2.56,1.00,a,0.20,97,,97,,,,1.90,1.04,a,0.16,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,snowman,,,3.06,0.86,,0.00,100,,100,,,,3.15,1.04,,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,sock,,,4.97,0.16,a,0.00,100,,100,,,,4.52,0.84,a,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,spider,,,3.43,1.00,a,0.15,98,b,98,,,,2.28,1.10,a,0.61,88,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,spinning wheel,,,1.62,0.81,a,2.96,28,b,28,,,,1.18,0.54,a,2.04,50,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,spool of thread,d,,2.82,0.91,,2.00,52,b,89,c,,,3.12,1.14,,1.54,55,b,98,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,spoon,,,4.89,0.35,a,0.13,97,,97,,,,4.50,0.89,a,0.16,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,squirrel,,,4.30,0.79,a,0.13,98,b,98,,,,3.82,0.89,a,0.17,93,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,star,,,3.98,0.81,a,0.00,100,b,100,,,,3.35,1.33,a,0.00,100,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,stool,,,3.73,0.92,a,0.33,95,,95,,,,3.08,1.13,a,0.16,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,stove,,,4.30,0.74,a,1.05,69,b,69,c,,,4.65,0.65,a,1.12,76,b,98,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,strawberry,,,3.86,0.85,a,0.07,98,b,98,,,,3.20,1.29,a,0.17,90,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,suitcase,,,3.52,0.88,,1.05,66,,66,c,,,3.65,0.91,,1.01,79,,90,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,sun,,,4.91,0.39,,0.29,96,,96,,,,4.90,0.30,,0.00,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,swan,,,2.40,0.98,a,0.70,88,,88,,,,1.97,0.83,a,0.64,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,sweater,,,4.50,0.70,,1.29,65,,65,,,,4.48,0.74,,0.98,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,swing,,,3.18,1.00,,0.20,96,b,96,,,,3.02,1.24,,0.17,95,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,table,,,4.79,0.51,a,0.15,97,,97,,,,4.35,0.88,a,0.32,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,telephone,,,4.89,0.34,,0.88,74,,99,,,,4.80,0.51,,0.59,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,television,d,(TV),4.74,0.56,,1.17,60,b,100,,,,4.82,0.38,,1.46,52,b,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,tennis racket,,,3.10,0.93,a,0.66,85,,85,,,,3.62,1.30,a,0.62,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,thimble,,,2.10,0.91,a,0.51,86,,86,,,,2.48,1.12,a,0.63,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,thumb,,,4.96,0.21,a,0.07,99,b,99,,,,4.72,0.74,a,0.16,98,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,tie,,,3.46,0.97,,0.51,88,b,100,,,,3.80,1.03,,0.89,69,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,tiger,,,2.09,1.02,,0.07,98,b,98,,,,2.10,0.92,,0.33,93,b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
